GBP category,GBP service name,Description (<300 chars),Landing page
Electrician,Electrical troubleshooting,"Dead outlets, tripping breakers, flickering lights, buzzing switches and half-working circuits, tracked down methodically and fixed properly. We find the cause instead of guessing, and explain what we found.",https://www.joehuckelectric.com/electrician-services/electrical-repair-troubleshooting/
Electrician,Electrical maintenance,"A thorough check of your home's electrical system: panel inspection, tightening connections, testing GFCI and AFCI protection, smoke and CO alarms, and a written list of anything that needs attention.",https://www.joehuckelectric.com/electrician-services/electrical-maintenance/
Electrician,Electrical code corrections,"Fix the electrical items on a home inspection or municipal inspection report, from double-tapped breakers and missing GFCIs to open junction boxes and ungrounded outlets, with documentation for buyers and sellers.",https://www.joehuckelectric.com/electrician-services/electrical-code-corrections/
Electrician,New construction electrical,"Complete electrical for new homes, additions and major renovations: planning, temporary power, service installation, rough-in, trim-out and inspections, coordinated with your builder's schedule.",https://www.joehuckelectric.com/electrician-services/new-construction-electrical/
Electrician,Ground wire installation & Repair,"Add ground wires to ungrounded outlets, repair or replace grounding electrodes and ground rods, and bond water pipes and gas lines, so your outlets, surge protection and electronics work as designed.",https://www.joehuckelectric.com/electrician-services/ground-wire-installation-repair/
Electrical Installation Services,Electrical wiring installation,"New wiring for remodels, additions, attic and basement conversions: circuits, outlets, switches and lighting planned around how you'll use the space, installed to code and inspected.",https://www.joehuckelectric.com/electrical-installation-services/electrical-wiring-installation/
Electrical Installation Services,Dedicated circuit installation,"Give appliances and equipment their own circuit so they stop tripping breakers: microwaves, refrigerators, freezers, sump pumps, space heaters, home offices, gym equipment and 240-volt tools.",https://www.joehuckelectric.com/electrical-installation-services/dedicated-circuit-installation/
Electrical Installation Services,Switch & Outlet installation,"Add outlets where you need them and replace worn, loose, cracked or warm switches and outlets. We install USB and tamper-resistant outlets and fix the loose connections behind flickering switches.",https://www.joehuckelectric.com/electrical-installation-services/switch-outlet-installation/
Electrical Installation Services,Electrical switch replacement,"Add outlets where you need them and replace worn, loose, cracked or warm switches and outlets. We install USB and tamper-resistant outlets and fix the loose connections behind flickering switches.",https://www.joehuckelectric.com/electrical-installation-services/switch-outlet-installation/
Electrical Installation Services,Switch & Outlet relocation,"Move outlets and switches to where they belong: behind a wall-mounted TV, clear of new cabinets, at the right height, or on the latch side of a door. Old boxes are closed up to code.",https://www.joehuckelectric.com/electrical-installation-services/switch-outlet-relocation/
Electrical Installation Services,GFCI outlet installation,"Ground-fault (GFCI) protection for kitchens, bathrooms, laundry areas, garages, basements and outdoor outlets. We install GFCI outlets and breakers where code requires and fix GFCIs that won't reset.",https://www.joehuckelectric.com/electrical-installation-services/gfci-outlet-installation/
Electrical Installation Services,Outdoor outlet installation,"Weather-resistant, GFCI-protected outdoor outlets with in-use covers for decks, patios, porches, holiday lights, landscape lighting transformers, pool equipment and yard tools.",https://www.joehuckelectric.com/electrical-installation-services/outdoor-outlet-installation/
Electrical Installation Services,Dimming switch installation,"LED-compatible dimmers that dim smoothly without flicker or buzz, including smart dimmers, multi-location dimming and dimmers matched to your fixtures and bulbs.",https://www.joehuckelectric.com/electrical-installation-services/dimmer-switch-installation/
Electrical Installation Services,Two-way switching wiring,"Control a light from two or more places, such as the top and bottom of the stairs or both ends of a hallway. We add new switch locations and fix 3-way circuits that only work one way.",https://www.joehuckelectric.com/electrical-installation-services/three-way-switch-wiring/
Electrical Installation Services,Ceiling fan installation,"Ceiling fans installed securely on fan-rated boxes, whether you're replacing a light fixture or adding a fan to a room with no ceiling wiring. Separate fan and light control, remotes and high-ceiling downrods.",https://www.joehuckelectric.com/electrical-installation-services/ceiling-fan-installation/
Electrical Installation Services,Attic fan installation,"Powered attic ventilators wired with thermostat and humidistat control to move hot, humid air out of your attic. We install gable fans and wire roof-mounted units, and repair fans that have stopped working.",https://www.joehuckelectric.com/electrical-installation-services/attic-fan-installation/
Electrical Installation Services,Appliance wiring,"Circuits and hookups for electric and induction ranges, cooktops, wall ovens, dryers, water heaters, dishwashers, disposals and built-in microwaves, sized to each appliance and wired to code.",https://www.joehuckelectric.com/electrical-installation-services/appliance-wiring/
Electrical Installation Services,Bathroom fixture wiring,"Electrical for bathroom remodels and updates: vanity lights, exhaust fans vented to the outside, heated floors, towel warmers, wet-rated shower lights and GFCI-protected outlets.",https://www.joehuckelectric.com/electrical-installation-services/bathroom-fixture-wiring/
Electrical Installation Services,Smart home wiring,"Wiring for smart switches, dimmers, thermostats, video doorbells, cameras and hubs, including adding neutral wires and power where devices need it, so your smart home is reliable rather than frustrating.",https://www.joehuckelectric.com/electrical-installation-services/smart-home-wiring/
Electrical Installation Services,Smoke detector installation,"Hardwired, interconnected smoke and carbon monoxide alarms with battery backup, installed where code requires, plus replacement of alarms past their ten-year life and fixes for chirping and false alarms.",https://www.joehuckelectric.com/electrical-installation-services/smoke-detector-installation/
Electrical Installation Services,Doorbell installation,"Wired and video doorbell installation, new transformers for Ring, Nest and other video doorbells, chime replacement and repair of doorbells that don't ring or keep losing power.",https://www.joehuckelectric.com/electrical-installation-services/doorbell-installation/
Electrical Installation Services,Low voltage wiring,"Network (Cat6) cable, thermostat and doorbell wire, speaker wire, TV wall pass-throughs and camera wiring, run neatly and kept a safe distance from power wiring.",https://www.joehuckelectric.com/electrical-installation-services/low-voltage-wiring/
Electrical Installation Services,Hot tub electrical hookup,"Complete hot tub and swim spa wiring: a 240-volt circuit sized to the tub, a GFCI-protected disconnect at the required distance, bonding, the permit and the inspection.",https://www.joehuckelectric.com/electrical-installation-services/hot-tub-electrical-hookup/
Electrical Installation Services,Pool electrical wiring,"Electrical for in-ground and above-ground pools: pump, filter and heater circuits, pool lighting, equipotential bonding, GFCI protection and the inspections pools require.",https://www.joehuckelectric.com/electrical-installation-services/pool-electrical-wiring/
Electrical Installation Services,Basement wiring,"Complete electrical for finished basements: circuits, outlets, recessed lighting, AFCI and GFCI protection, smoke alarms, sump pump circuits and a subpanel if your main panel is full.",https://www.joehuckelectric.com/electrical-installation-services/basement-wiring/
Electrical Installation Services,Shed or garage wiring,"Power for detached garages, sheds and workshops: underground feeders, subpanels, lighting, outlets, 240-volt tool circuits and EV charger circuits, permitted and inspected.",https://www.joehuckelectric.com/electrical-installation-services/shed-garage-wiring/
Electrical Installation Services,Barn wiring,"Electrical for horse barns, pole buildings and agricultural outbuildings: feeders and subpanels, damp- and dust-rated lighting, GFCI-protected outlets, water heater and fan circuits, and old barn wiring replaced safely.",https://www.joehuckelectric.com/electrical-installation-services/barn-wiring/
Lighting Contractor Services,Recessed lighting installation,"Recessed LED lighting for kitchens, living rooms, basements and baths, laid out for even light without dark spots or glare, on dimmers, and installed in finished ceilings with minimal patching.",https://www.joehuckelectric.com/lighting-contractor-services/recessed-lighting-installation/
Lighting Contractor Services,Ceiling light installation,"Replace dated ceiling fixtures or add a ceiling light to a room that doesn't have one. We check the box and wiring, support heavier fixtures properly and put it on the switch where you want it.",https://www.joehuckelectric.com/lighting-contractor-services/ceiling-light-installation/
Lighting Contractor Services,Chandelier installation,"Chandeliers installed safely on supports rated for the weight, hung at the right height over the table or in a two-story foyer, assembled, leveled and put on a dimmer.",https://www.joehuckelectric.com/lighting-contractor-services/chandelier-installation/
Lighting Contractor Services,Pendant lighting installation,"Pendant lights over kitchen islands, peninsulas, dining tables and entries, spaced and hung at the right height, with new boxes where they're needed and adapters for sloped ceilings.",https://www.joehuckelectric.com/lighting-contractor-services/pendant-lighting-installation/
Lighting Contractor Services,Wall sconce installation,"Wall sconces beside bathroom mirrors, along hallways and stairs, by the bed and at exterior doors, installed at the right height with new boxes fished into finished walls.",https://www.joehuckelectric.com/lighting-contractor-services/wall-sconce-installation/
Lighting Contractor Services,Track lighting installation,"Adjustable track and monorail lighting for artwork, kitchens, sloped ceilings, studios and retail displays, with modern LED heads you can aim, move and dim.",https://www.joehuckelectric.com/lighting-contractor-services/track-lighting-installation/
Lighting Contractor Services,Under cabinet lighting installation,"Hardwired LED under-cabinet lighting on a wall switch or dimmer, with the wiring and drivers hidden, so your counters are evenly lit without cords or dark spots.",https://www.joehuckelectric.com/lighting-contractor-services/under-cabinet-lighting-installation/
Lighting Contractor Services,Accent lighting installation,"Soft LED cove lighting in tray ceilings and crown molding, plus accent lighting for shelves, artwork, toe-kicks, stairs and built-ins, with hidden drivers and dimming.",https://www.joehuckelectric.com/lighting-contractor-services/accent-cove-lighting/
Lighting Contractor Services,Cove lighting installation,"Soft LED cove lighting in tray ceilings and crown molding, plus accent lighting for shelves, artwork, toe-kicks, stairs and built-ins, with hidden drivers and dimming.",https://www.joehuckelectric.com/lighting-contractor-services/accent-cove-lighting/
Lighting Contractor Services,LED lighting installation,"Convert fluorescent fixtures, old recessed cans, halogen and incandescent lighting to efficient LED, for homes and small businesses, including ballast bypass and full fixture replacement.",https://www.joehuckelectric.com/lighting-contractor-services/led-lighting-retrofits/
Lighting Contractor Services,Lighting retrofits,"Convert fluorescent fixtures, old recessed cans, halogen and incandescent lighting to efficient LED, for homes and small businesses, including ballast bypass and full fixture replacement.",https://www.joehuckelectric.com/lighting-contractor-services/led-lighting-retrofits/
Lighting Contractor Services,LED strip lighting installation,"Hardwired LED strip (tape) lighting in aluminum channels with diffusers for coves, cabinets, shelves, stairs, bars and toe-kicks, with drivers sized for the run and hidden from view.",https://www.joehuckelectric.com/lighting-contractor-services/led-strip-lighting-installation/
Lighting Contractor Services,Smart lighting installation,"Smart switches and dimmers, scenes and schedules, app and voice control, installed with the neutrals and compatible fixtures they need, so your lighting is convenient and reliable.",https://www.joehuckelectric.com/lighting-contractor-services/smart-lighting-installation/
Lighting Contractor Services,Motion sensor lighting installation,"Motion-activated lighting indoors and out: occupancy and vacancy sensor switches for closets, laundry rooms, garages and stairs, and outdoor motion lights for driveways, doors and walkways.",https://www.joehuckelectric.com/lighting-contractor-services/motion-sensor-lighting/
Lighting Contractor Services,Security lighting installation,"LED floodlights and security lighting for driveways, yards, entrances and commercial lots, with motion sensors, dusk-to-dawn control and aiming that lights your property without blinding the neighbors.",https://www.joehuckelectric.com/lighting-contractor-services/security-flood-lighting/
Lighting Contractor Services,Flood light installation,"LED floodlights and security lighting for driveways, yards, entrances and commercial lots, with motion sensors, dusk-to-dawn control and aiming that lights your property without blinding the neighbors.",https://www.joehuckelectric.com/lighting-contractor-services/security-flood-lighting/
Lighting Contractor Services,Landscape lighting installation,"Low-voltage LED landscape lighting for paths, driveways, trees, steps, patios and the front of the house, with properly sized transformers, buried cable and timers or astronomical clocks.",https://www.joehuckelectric.com/lighting-contractor-services/landscape-lighting-installation/
Lighting Contractor Services,Low voltage lighting installation,"Low-voltage LED landscape lighting for paths, driveways, trees, steps, patios and the front of the house, with properly sized transformers, buried cable and timers or astronomical clocks.",https://www.joehuckelectric.com/lighting-contractor-services/landscape-lighting-installation/
Lighting Contractor Services,Garage lighting installation,"Replace the single bare bulb with bright, even LED shop lighting, hardwired on a switch at the door, with added outlets and circuits for tools, freezers and workbenches.",https://www.joehuckelectric.com/lighting-contractor-services/garage-lighting-installation/
Lighting Contractor Services,Lighting repair,"Fix lights that flicker, buzz or won't turn on, replace failed ballasts and drivers, change bulbs in hard-to-reach fixtures, and repair outdoor and landscape lighting.",https://www.joehuckelectric.com/lighting-contractor-services/lighting-repair/
Lighting Contractor Services,Ballast and bulb replacement,"Fix lights that flicker, buzz or won't turn on, replace failed ballasts and drivers, change bulbs in hard-to-reach fixtures, and repair outdoor and landscape lighting.",https://www.joehuckelectric.com/lighting-contractor-services/lighting-repair/
